─────────────────────────────── Lead Collector ────────────────────────────────
Segments to collect: 4
Target per segment:  300 leads
LinkedIn enrichment: yes
No GOOGLE_MAPS_API_KEY — using Overpass (OSM) as primary source
To use Google Maps: add GOOGLE_MAPS_API_KEY to .env

───────────────────────────── PL / IT & Software ──────────────────────────────
  [  1] overpass     Concept Intermedia
  [  2] overpass     Clockwork Bits Software
  [  3] overpass     UNISOFT
  [  4] overpass     7RS WEB STUDIO
  [  5] overpass     Soft Różycki Piotr
  [  6] overpass     TEXcomp
  [  7] overpass     Timaco
  [  8] overpass     Comarch
  [  9] overpass     ZXStudio!
  [ 10] overpass     QNT
  [ 11] overpass     IT Solutions
  [ 12] overpass     Polska Netgaleria
  [ 13] overpass     Insert (drukarki - komputery )
  [ 14] overpass     Impuls
  [ 15] overpass     Proxeo
  [ 16] overpass     AVSystem
  [ 17] overpass     Climax
  [ 18] overpass     Ram-serwis Odzyskiwanie danych
  [ 19] overpass     VML Enterprise Solutions
  [ 20] overpass     Grupa TENSE
  [ 21] overpass     Centrum Oprogramowania Profisoft
  [ 22] overpass     Firma Dominnet
  [ 23] overpass     StudioWIDERA.NET
  [ 24] overpass     JCommerce SA
  [ 25] overpass     Senetic Sp. z o.o. S.K.A.
  [ 26] overpass     CERI International Sp. z o.o.
  [ 27] overpass     Matti
  [ 28] overpass     Falconn Tomasz Falkowski
  [ 29] overpass     Dataspace.pl
  [ 30] overpass     AVATEC - Strony Internetowe
  [ 31] overpass     Avito Internet
  [ 32] overpass     AcomNEX
  [ 33] overpass     Enterso
  [ 34] overpass     CVD s.c.
  [ 35] overpass     Marcin Wujek - PROGRAMISTA
  [ 36] overpass     INSOFT
  [ 37] overpass     Internet TSUNAMI
  [ 38] overpass     Propeller
  [ 39] overpass     'merce
  [ 40] overpass     Asseco Poland
  [ 41] overpass     Max-Serwis
  [ 42] overpass     Net-ARN
  [ 43] overpass     Schibsted Tech Polska sp. z o.o.
  [ 44] overpass     Onet.pl
  [ 45] overpass     REC Global Sp. z o. o.
  [ 46] overpass     Tietoevry
  [ 47] overpass     KOBA - Serwis komputerowy
  [ 48] overpass     HP
  [ 49] overpass     Mobica
  [ 50] overpass     Infomex Sp. z o.o.
  [ 51] overpass     Polixel
  [ 52] overpass     Treston
  [ 53] overpass     NES EuroCon Sp. z. o.o.
  [ 54] overpass     Bitstrefa
  [ 55] overpass     EUVIC Sp. z o.o.
  [ 56] overpass     HiSpeed
  [ 57] overpass     ADE Internet
  [ 58] overpass     Artnet Sp. z o.o.
  [ 59] overpass     Synergy Automation
  [ 60] overpass     Sygnity
  [ 61] overpass     Polman Software
  [ 62] overpass     PC Serwis
  [ 63] overpass     InterPc
  [ 64] overpass     BT Electronics
  [ 65] overpass     mw4it Systemy Informatyczne
  [ 66] overpass     MAT Usługi Informatyczne
  [ 67] overpass     Asseco Poland S.A
  [ 68] overpass     Atos Polska S.A.
  [ 69] overpass     Interka
  [ 70] overpass     Eversoft
  [ 71] overpass     Power Media S.A.
  [ 72] overpass     PIW "ANFA" s.c.
  [ 73] overpass     Nowa technologia
  [ 74] overpass     T-Matic Grupa Computer Plus Sp. z o.o.
  [ 75] overpass     MGM Systems S.A.
  [ 76] overpass     Asseco Data Systems S.A.
  [ 77] overpass     DreamLab Onet.pl
  [ 78] overpass     AW.NET Polska Sp. z o.o.
  [ 79] overpass     Asseco Data Systems
  [ 80] overpass     SEDACO
  [ 81] overpass     ZAP-Kooperacja sp. z o.o.
  [ 82] overpass     Transition Technologies S.A.
  [ 83] overpass     Agencja Kreatywna Magico
  [ 84] overpass     Infover
  [ 85] overpass     TextPartner
  [ 86] overpass     RST Software Masters
  [ 87] overpass     Informatyk.eu
  [ 88] overpass     IT Engineering
  [ 89] overpass     craws
  [ 90] overpass     Avidata
  [ 91] overpass     SHOCKStudio Sp. z o.o. - Strony www, grafika, gadż
  [ 92] overpass     Biuro Informacji Turystycznej
  [ 93] overpass     O.I.S. Audax sp. z o.o.
  [ 94] overpass     Verall s.j.
  [ 95] overpass     Audax sp. z o.o. KSIĘGOWOŚĆ
  [ 96] overpass     SI-Consulting
  [ 97] overpass     Yesnet.pl
  [ 98] overpass     Afisz Media
  [ 99] overpass     IT Wic Feniks
  [100] overpass     Setapp
  [101] overpass     PROXIMA
  [102] overpass     Tech-Instal Marcin Osemka
  [103] overpass     Cer-Tech
  [104] overpass     Rozbark-Net
  [105] overpass     Iware sp. z o.o.
  [106] overpass     Syncron Poland
  [107] overpass     E-Triton
  [108] overpass     UBS Offshore Development Center
  [109] overpass     Les Comp
  [110] overpass     Asklepios. Usługi informatyczne. Knaziuk J
  [111] overpass     Toucan Systems - software house
  [112] overpass     Arthizm
  [113] overpass     Hostovita.pl
  [114] overpass     KOPnet S.C.
  [115] overpass     Multinet Sp. z o.o.
  [116] overpass     DES ART sp. z o.o.
  [117] overpass     Cador Constulting sp. z o.o.
  [118] overpass     Info-Partner
  [119] overpass     RavenIT
  [120] overpass     GemsNet - Agencja interaktywna
  [121] overpass     LIFE SYSTEM Artur Fic
  [122] overpass     Multisoft S.A.
  [123] overpass     GSD Software Polska Sp. z o.o.
  [124] overpass     RankHouse
  [125] overpass     InfoDetect Agencja Detektywistyczna
  [126] overpass     Usługi Informatyczne Leszek Leloch
  [127] overpass     TOP S.A.
  [128] overpass     Asseco Business Solutions SA
